Size(Kb),1-Way,2-Way,4-Way,8-Way
4,0.9586859999999999,0.979278,0.9793149999999999,0.9594079999999999
8,0.94689,0.948538,0.9485929999999999,0.95876
16,0.944039,0.976872,0.976872,0.977168
32,0.9378749999999999,0.943743,0.944039,0.954243
64,0.927157,0.947209,0.968097,0.969467
128,0.8945219999999999,0.933399,0.925824,0.958693
256,0.869624,0.898098,0.8930039999999999,0.929038
512,0.837204,0.8199989999999999,0.8135159999999999,0.828418
1024,0.495403,0.588356,0.626274,0.652245
