Size(Kb),1-Way,2-Way,4-Way,8-Way
,,,,
4,0.972889,0.986878,0.988158,0.988673
8,0.94121,0.972256,0.974595,0.975595
16,0.927456,0.939165,0.945505,0.948006
32,0.869099,0.881427,0.886215,0.885435
64,0.757256,0.763831,0.76456,0.767943
128,0.632754,0.640668,0.644846,0.645729
256,0.509834,0.520823,0.523345,0.52678
512,0.38509,0.398314,0.397336,0.397895
1024,0.221848,0.251254,0.274416,0.28233
