Size(Kb),1-Way,2-Way,4-Way,8-Way
,,,,
4,0.998686,0.999278,0.999315,0.999408
8,0.99689,0.998538,0.998593,0.99876
16,0.994039,0.996872,0.996872,0.997168
32,0.987875,0.993743,0.994039,0.994243
64,0.977157,0.987209,0.988097,0.989467
128,0.944522,0.973399,0.975824,0.978693
256,0.919624,0.938098,0.943004,0.949038
512,0.857204,0.859999,0.863516,0.878418
1024,0.535403,0.608356,0.676274,0.702245
