Size(Kb),1-Way,2-Way,4-Way,8-Way
4,0.953318,0.966922,0.948221,0.968675
8,0.892098,0.952548,0.934724,0.955669
16,0.908677,0.919997,0.8961819999999999,0.928764
32,0.850451,0.832861,0.837599,0.846664
64,0.709822,0.746675,0.726985,0.750379
128,0.585005,0.6033449999999999,0.607989,0.60898
256,0.491607,0.47301699999999997,0.47535200000000005,0.488698
512,0.34700600000000004,0.36057100000000003,0.34963,0.380171
1024,0.20217000000000002,0.211033,0.22339599999999998,0.241107
