Size(Kb),1-Way,2-Way,4-Way,8-Way
,,,,
4,0.998764,0.999273,0.99931,0.999328
8,0.997038,0.998601,0.998619,0.998764
16,0.994039,0.996802,0.99711,0.997274
32,0.988117,0.993747,0.994147,0.994348
64,0.977991,0.987316,0.988295,0.989751
128,0.94624,0.973667,0.976104,0.979152
256,0.920404,0.938318,0.943504,0.949788
512,0.85691,0.860284,0.863736,0.879376
1024,0.53145,0.603519,0.670944,0.695813
