Size(Kb),1-Way,2-Way,4-Way,8-Way
4,0.952889,0.946878,0.9381579999999999,0.968673
8,0.90121,0.952256,0.934595,0.925595
16,0.9074559999999999,0.899165,0.925505,0.928006
32,0.8490989999999999,0.8314269999999999,0.8462149999999999,0.8354349999999999
64,0.707256,0.723831,0.71456,0.717943
128,0.612754,0.620668,0.594846,0.605729
256,0.489834,0.48082300000000006,0.47334499999999996,0.47678000000000004
512,0.34509,0.348314,0.34733600000000003,0.357895
1024,0.201848,0.231254,0.23441599999999999,0.23233000000000004
