Size(Kb),1-Way,2-Way,4-Way,8-Way
,,,,
4,0.973318,0.986922,0.988221,0.988675
8,0.942098,0.972548,0.974724,0.975669
16,0.928677,0.939997,0.946182,0.948764
32,0.870451,0.882861,0.887599,0.886664
64,0.759822,0.766675,0.766985,0.770379
128,0.635005,0.643345,0.647989,0.64898
256,0.511607,0.523017,0.525352,0.528698
512,0.387006,0.400571,0.39963,0.400171
1024,0.22217,0.251033,0.273396,0.281107
